"a, an","indefinite, article","а,",
ankle,Noun,лодыжка,She twisted her ankle while playing soccer.
anniversary,Noun,Годовщина,They celebrated their 10th wedding anniversary.
announce,Verb,анонсировать,The company will announce its new product next week.
announcement,Noun,объявление,The announcement of the winner will be made tomorrow.
annoy,Verb,раздражать,Loud noises annoy me when I'm trying to concentrate.
annoyed,Adjective,раздраженный,She was annoyed by the constant interruptions during the meeting.
annoying,Adjective,раздражающий,The buzzing sound of the mosquito was annoying.
annual,Adjective,годовой,The company holds an annual conference for its employees.
another,det. pron,другой,"Could you pass me another piece of cake, please?"
answer,Noun Verb,ответ,He didn't know the answer to the question.
anxious,Adjective,озабоченный,She felt anxious about the upcoming exam.
any,"det. proNoun, Adverb",любой,You can choose any color you like.
anybody,pron,кто-нибудь,Is there anybody who can help me with this problem?
any more,Adverb,больше,"I don't want any more cake, thank you."
anyone,pron,кто угодно,Anyone can participate in the competition.
anything,pron,что-нибудь,Do you need anything from the store?
anyway,Adverb,в любом случае,"I don't really like seafood, but I'll eat it anyway."
anywhere,AdVerb proNoun,везде,I couldn't find my keys anywhere.
apart,Adverb,отдельно,Let's set the red apples apart from the green ones.
apartment,Noun,квартира,She lives in a small apartment downtown.
apologize,Verb,принести извинения,I need to apologize for my rude behavior yesterday.
app,Noun,приложение,I downloaded a new app for my smartphone.
apparent,Adjective,очевидный,His apparent lack of interest in the topic surprised me.
apparently,Adverb,по-видимому,"Apparently, he forgot to turn off the lights before leaving."
appeal,Noun Verb,обращение,The charity made an appeal for donations.
appear,Verb,появиться,He suddenly appeared at the door.
appearance,Noun,внешность,Her elegant appearance caught everyone's attention.
apple,Noun,яблоко,She took a bite of the juicy apple.
application,Noun,применение,The software has a wide range of applications.
apply,Verb,подать заявление,You need to apply for a visa before traveling abroad.
appointment,Noun,"деловое свидание, встреча",I have a dental appointment tomorrow morning.
appreciate,Verb,ценить,I really appreciate your help with this project.
approach,Noun Verb,подходить,The deadline is approaching quickly.
appropriate,Adjective,соответствующий,Wearing formal attire is appropriate for the event.
approval,Noun,утверждение,The project received final approval from the committee.
approve,Verb,одобрить,The board of directors approved the budget proposal.
approximately,Adverb,примерно,The journey will take approximately two hours.
April,Noun,апрель,My birthday is in April.
architect,Noun,архитектор,He hired an architect to design his dream house.
architecture,Noun,архитектура,The city is known for its unique architecture.
area,Noun,площадь,The park has a large open area for picnics.
argue,Verb,спорить,They always argue about politics.
argument,Noun,аргумент,The couple had a heated argument about money.
arise,Verb,возникать,A new opportunity arose for her to pursue her passion.
arm,Noun,рука,She injured her arm while playing tennis.
armed,Adjective,вооружившись,The security guard was armed with a gun.
arms,Noun,руки,She hugged him tightly in her arms.
army,Noun,армия,He served in the army for five years.
around,prep. Adverb,вокруг,"They sat around the campfire, sharing stories."
arrange,Verb,организовать,She will arrange a meeting with the project team.
arrangement,Noun,расположение,The flowers were arranged beautifully in a vase.
arrest,Verb Noun,арестовывать,The police arrested the suspect for robbery.
arrival,Noun,прибытие,We are waiting for the arrival of our guests.
arrive,Verb,прибыть,The train will arrive at platform 3 in 10 minutes.
art,Noun,искусство,She enjoys creating art in her free time.
article,Noun,статья,I read an interesting article about space exploration.
artificial,Adjective,искусственный,"The flowers in the vase were artificial, not real."
artist,Noun,художник,The artist painted a beautiful landscape.
artistic,Adjective,художественный,She has a natural talent for artistic expression.
as,"prep., Adverb conj.",так как,I couldn't sleep as it was too noisy outside.
ashamed,Adjective,стыдно,He felt ashamed of his actions.
asleep,Adjective,спящий,The baby fell asleep in her mother's arms.
ask,Verb,просить,Can I ask you a question?
aspect,Noun,аспект,They discussed every aspect of the project in detail.
assess,Verb,оценить,The teacher will assess the students' performance.
assessment,Noun,оценка,The assessment of the project's success will be made next week.
assignment,Noun,назначение,She received a challenging assignment from her boss.
assist,Verb,помощь,I'll be glad to assist you with your project.
assistant,Noun Adjective,помощник,She works as an assistant to the CEO.
associate,Verb,ассоциировать,Many people associate the smell of coffee with mornings.
associated,Adjective,связанный,The study found an associated increase in productivity.
association,Noun,ассоциация,She is a member of the local art association.
assume,Verb,предполагать,I assume he will be at the meeting tomorrow.
at,prep.,в,Meet me at the restaurant at 7 PM.
athlete,Noun,спортсмен,The athlete won the gold medal in the Olympic Games.
atmosphere,Noun,атмосфера,The atmosphere at the party was lively and energetic.
attach,Verb,прикреплять,Please attach the file to the email and send it to me.
attack,Noun Verb,атака,The army launched a surprise attack on the enemy's base.
attempt,Noun Verb,попытка,She made an attempt to climb the mountain but had to turn back.
attend,Verb,посещать,I will attend the conference next week.
attention,Noun exclam.,внимание,"Attention, please! The show will begin in 5 minutes."
attitude,Noun,отношение,Her positive attitude towards work is contagious.
attract,Verb,привлекать,The colorful advertisement attracted many customers.
attraction,Noun,привлечение,The amusement park is a popular attraction for tourists.
attractive,Adjective,привлекательный,She is a talented and attractive actress.
audience,Noun,зрительская аудитория,The audience applauded enthusiastically at the end of the performance.
August,Noun,августейший,Our vacation is planned for August.
aunt,Noun,тетка,My aunt is visiting us from out of town.
author,Noun,автор,The author of the book is known for her captivating storytelling.
authority,Noun,власть,The government has the authority to make decisions on behalf of the people.
autumn,Noun,осень,The leaves change colors in autumn.
available,Adjective,доступный,Is this item available in different sizes?
average,"Adjective, Noun Verb",средний,The average temperature in this city is around 20 degrees Celsius.
avoid,Verb,избегать,I try to avoid eating sugary foods for a healthier lifestyle.
award,Noun Verb,награда,She received an award for her outstanding performance.
aware,Adjective,знать,Are you aware of the risks involved in this activity?
away,Adverb,прочь,The kids ran away when they saw the teacher approaching.
awful,Adjective,ужасный,The weather was awful with heavy rain and strong winds.
baby,Noun,детка,The baby slept peacefully in the crib.
back,"Noun AdVerb Adjective, Verb",назад,She hurt her back while lifting a heavy box.
background,Noun,задний план,The mountains provided a beautiful background for the landscape.
backwards,Adverb,назад,He stumbled and fell backwards down the stairs.
bacteria,Noun,бактерии,The bacteria can cause food poisoning if not properly cooked.
bad,Adjective,плохой,The movie received bad reviews from critics.
badly,Adverb,плохо,She wanted to win the game badly.
bag,Noun,мешок,She carried a heavy bag full of groceries.
bake,Verb,выпекать,We decided to bake cookies for the bake sale.
balance,Noun Verb,баланс,The gymnast showed great balance on the beam.
ball,Noun,мяч,He kicked the ball and scored a goal.
ban,Verb Noun,запрет,The city council decided to ban smoking in public parks.
banana,Noun,банан,She ate a ripe banana for breakfast.
band,Noun,группа,The band played their new song at the concert.
bank (money),Noun,банк (деньги),She deposited her paycheck at the bank.
bank (river),Noun,банк (река),The riverbank was lined with tall trees.
bar,Noun Verb,бар,Let's meet at the bar for a drink after work.
barrier,Noun,барьер,The police set up barriers to control the crowd.
base,Noun Verb,основание,The company built a new manufacturing base in the city.
baseball,Noun,бейсбол,He enjoys playing baseball with his friends on the weekends.
based,Adjective,исходя из,The movie is based on a true story.
basketball,Noun,баскетбол,The basketball game ended in a tie.
basic,Adjective,основной,The course covers basic principles of accounting.
basically,Adverb,в принципе,"Basically, the answer to the question is simple."
basis,Noun,основа,The study was conducted on the basis of previous research.
bath,Noun,ванна,She took a relaxing bath after a long day at work.
bathroom,Noun,ванная,The bathroom is located on the second floor.
battery,Noun,аккумулятор,I need to replace the battery in my phone.
battle,Noun Verb,боевой,The soldiers fought a fierce battle against the enemy.
be,Verb auxiliary Verb,быть,I will be at the meeting tomorrow.
beach,Noun,пляж,They spent the afternoon relaxing at the beach.
bean,Noun,боб,She added some beans to the soup for extra protein.
bear,Verb,играть на понижение,He decided to bear the stock market and sell his shares.
bear,Noun,медведь (животное),We saw a bear in the woods during our camping trip.
beat,Verb Noun,бить,The drummer beat the drums with great energy and rhythm.
beautiful,Adjective,прекрасный,The sunset over the ocean was a beautiful sight to behold.
beauty,Noun,красота,She possesses both inner and outer beauty.
because,conj.,так как,I couldn't go to the party because I had to work.
become,Verb,становиться,He worked hard to become a successful entrepreneur.
bed,Noun,постель,I love to snuggle up in my cozy bed at night.
bedroom,Noun,спальная комната,The bedroom is decorated in a calming and relaxing style.
bee,Noun,пчела,"Be careful, there's a bee buzzing around you!"
beef,Noun,говядина,She ordered a steak made from prime beef at the restaurant.
beer,Noun,пиво,He enjoys drinking a cold beer after a long day at work.
before,"prep., conj. Adverb",перед,Please arrive 15 minutes before the scheduled meeting.
beg,Verb,очень прошу,I beg you to reconsider your decision.
begin,Verb,начать,Let's begin the meeting with a brief introduction.
beginning,Noun,начало,The beginning of the movie was filled with suspense.
behave,Verb,вести себя,It's important to behave politely in social situations.
behaviour,Noun,поведение,The child's behaviour at school has improved significantly.
behind,prep. Adverb,позади,She hid behind the tree to avoid being seen.
being,Noun,существо,The alien being had a unique appearance.
belief,Noun,вера,His belief in the power of positivity guided his actions.
believe,Verb,верить,I believe in you and your ability to succeed.
bell,Noun,колокол,The church bell chimed to signal the start of the ceremony.
belong,Verb,принадлежать,"This book belongs to me, not to you."
below,Adverb prep.,ниже,The answer to the question is written below.
belt,Noun,ремень,He tightened his belt to keep his pants from falling down.
bend,Verb Noun,изгиб,She carefully bent the metal wire into a circle.
benefit,Verb Noun,выгода,Regular exercise has many benefits for overall health.
bent,Adjective,изогнутый,The old tree had a bent trunk due to years of strong winds.
best,"Adjective, Adverb Noun",Лучший,She received the award for the best performance of the night.
bet,Verb Noun,держать пари,I bet you can't solve this puzzle in less than five minutes.
better,"Adjective, Adverb, Noun",лучше,I hope tomorrow will be a better day than today.
between,"prep., Adverb",между,The book is located between the two bookshelves.
beyond,prep. Adverb,за,Her ambition went beyond what anyone had expected of her.
bicycle,Noun,велосипед,She rode her bicycle to work every morning.
big,Adjective,большой,The elephant is a big animal with a long trunk.
bike,Noun,велосипед,He enjoys riding his bike in the park on weekends.
bill,Noun Verb,законопроект,The government passed a bill to improve healthcare services.
billion,number,млрд номер,The company's net worth is estimated at several billion dollars.
bin,Noun,бункер,Please dispose of the trash in the designated bin.
biology,Noun,биология,She is studying biology at university.
bird,Noun,птица,The chirping of birds filled the air in the morning.
birth,Noun,рождение,The birth of a child is a joyous occasion.
birthday,Noun,день рождения,We celebrated her birthday with a surprise party.
biscuit,Noun,бисквит,She baked delicious biscuits for the tea party.
bit,Noun,немного,Would you like a bit of cake?
bite,Verb Noun,укусить,"The mosquito bite left a red, itchy mark on her arm."
bitter,Adjective,горький,The medicine had a bitter taste.
black,"Adjective, Noun",черный,She wore a black dress to the formal event.
blame,Verb Noun,вина,Don't blame yourself for the mistakes of others.
blank,"Adjective, Noun",пустой,He handed her a blank piece of paper to write on.
blind,Adjective,слепой,The blind man navigated the city using a white cane.
block,Noun Verb,блок,The children built a tower with colorful blocks.
blog,Noun,блог,She enjoys writing articles for her personal blog.
blonde,Adjective,блондинка,Her blonde hair cascaded down her shoulders.
blood,Noun,кровь,The nurse took a sample of blood for testing.
blow,Verb,дуть,The wind blew gently through the trees.
blue,"Adjective, Noun",синий,The sky was a beautiful shade of blue.
board,Noun Verb,доска,He wrote the equation on the whiteboard.
boat,Noun,лодка,They rented a boat and went fishing on the lake.
body,Noun,тело,Regular exercise is good for both the mind and body.
boil,Verb,кипятить,She boiled water to make a cup of tea.
bomb,Noun Verb,бомбить,The bomb exploded with a loud noise.
bond,Noun,связь,They shared a strong bond of friendship.
bone,Noun,кость,He gnawed on the bone to clean his teeth.
book,Noun Verb,книга,I borrowed a book from the library.
boot,Noun,ботинок,She put on her hiking boots for the mountain hike.
border,Noun Verb,граница,The border between the two countries is heavily guarded.
bored,Adjective,надоедает,I'm bored with this movie.
boring,Adjective,скучный,The lecture was so boring that some people fell asleep.
born,Verb,Родился,He was born in a small village in the countryside.
borrow,Verb,заимствовать,Can I borrow your pen for a moment?
boss,Noun,босс,Her boss commended her for her hard work and dedication.
both,det./proNoun,обе,Both of the books are worth reading.
bother,Verb,беспокоить,"I don't want to bother you, but could you lend me some money?"
bottle,Noun,бутылка,She filled the bottle with cold water from the refrigerator.
bottom,Noun Adjective,низ,The bottom of the ocean is a mysterious place.
bowl,Noun,миска,He ate a bowl of soup for lunch.
box,Noun,коробка,She packed her belongings into a cardboard box.
boy,Noun,мальчик,The boy played soccer with his friends in the park.
boyfriend,Noun,парень,She introduced her boyfriend to her family.
brain,Noun,головной мозг,The brain is responsible for controlling our thoughts and movements.
branch,Noun,филиал,The company opened a new branch in a different city.
brand,Noun Verb,марка,She prefers to buy products from a well-known brand.
brave,Adjective,Храбрый,The firefighter showed great bravery in rescuing the child.
bread,Noun,хлеб,Could you please pass me a slice of bread?
break,Verb Noun,перерыв,Let's take a short break and grab a cup of coffee.
breakfast,Noun,завтрак,They had a delicious breakfast at their favorite café.
breast,Noun,грудь,The baby nestled against her mother's breast to nurse.
breath,Noun,дыхание,Take a deep breath and relax.
breathe,Verb,дышать,Close your eyes and breathe deeply.
breathing,Noun,дыхание,His breathing became rapid after running up the stairs.
bride,Noun,невеста,The bride looked stunning in her white wedding gown.
bridge,Noun,мост,We walked across the bridge to reach the other side of the river.
brief,Adjective,краткое,Please provide a brief summary of your findings.
bright,Adjective,яркий,The sun shone brightly in the clear blue sky.
brilliant,Adjective,блестящий,The pianist gave a brilliant performance that captivated the audience.
bring,Verb,приносить,"Can you bring me a glass of water, please?"
broad,Adjective,широкий,"The road was wide and broad, allowing for smooth traffic flow."
broadcast,Verb Noun,широковещательный,The TV station broadcasted the live concert to millions of viewers.
broken,Adjective,сломаны,The vase fell off the shelf and broke into pieces.
brother,Noun,брат,My brother is two years older than me.
brown,"Adjective, Noun",коричневый,She wore a brown dress to the party.
brush,Verb Noun,щетка,He brushed his teeth before going to bed.
bubble,Noun,пузырь,The children blew bubbles in the park.
budget,Noun,бюджет,We need to create a budget for our upcoming trip.
build,Verb,строить,They plan to build a new house next year.
building,Noun,здание,The building has a modern architectural design.
bullet,Noun,пуля,The detective found a bullet at the crime scene.
bunch,Noun,гроздь,She picked a bunch of grapes from the vineyard.
burn,Verb Noun,жечь,Please be careful not to burn yourself on the hot stove.
bury,Verb,закапывать,They decided to bury their pet cat in the backyard.
bus,Noun,автобус,I take the bus to work every morning.
bush,Noun,куст,The birds built their nest in the bush.
business,Noun,бизнес,He started his own business after quitting his job.
businessman,Noun,бизнесмен,The successful businessman managed multiple companies.
busy,Adjective,занятый,"I'm sorry, I can't talk right now. I'm too busy."
but,conj. prep,но,"I wanted to go to the party, but I had to study for an exam."
butter,Noun,сливочное масло,"Could you pass me the butter, please?"
button,Noun,кнопка,Press the button to start the machine.
buy,Verb,купить,I need to buy some groceries from the store.
by,prep. Adverb,по,She traveled to London by train.
bye,exclam,пока,"Goodbye! See you tomorrow! ""Bye!"""
cable,Noun,кабель,The cable connects the computer to the printer.
cafe,Noun,кафе,Let's meet for coffee at the café on the corner.
cake,Noun,торт,She baked a delicious chocolate cake for her friend's birthday.
calculate,Verb,высчитывает,He used a calculator to calculate the final sum.
call,Verb Noun,вызов,I received a phone call from an unknown number.
calm,Adjective Verb Noun,спокойный,The calm lake reflected the clear blue sky.
camera,Noun,камера,She loves taking photos with her new camera.
camp,Noun Verb,лагерь,They went camping in the mountains during the summer.
campaign,Noun Verb,кампания,The political campaign lasted for several months.
camping,Noun,кемпинг,We enjoy going camping in the wilderness.
campus,Noun,кампус,The university campus is spread across a large area.
can1,modal Verb,CAN1,Can I borrow your pen for a moment?
can2,Noun,CAN2,He put the empty soda can in the recycling bin.
cancel,Verb,Отмена,The concert was canceled due to bad weather.
cancer,Noun,рак,She is undergoing treatment for breast cancer.
candidate,Noun,кандидат,He is a strong candidate for the job position.
cannot,Verb,не может,I cannot attend the meeting tomorrow.
cap,Noun,шапка,He wore a cap to protect his head from the sun.
capable,Adjective,способный,She is a capable leader who can handle difficult situations.
capacity,Noun,вместимость,"The stadium has a seating capacity of 50,000 spectators."
capital,Noun Adjective,капитал,London is the capital city of England.
captain,Noun,капитан,The captain of the team led them to victory.
capture,Verb Noun,захватить,The police managed to capture the escaped prisoner.
car,Noun,машина,He bought a new car for his birthday.
card,Noun,открытка,She received a beautiful birthday card in the mail.
care,Noun Verb,забота,The nurse provided excellent care to the patient.
career,Noun,карьера,She has had a successful career in finance.
careful,Adjective,осторожный,Be careful not to slip on the wet floor.
carefully,Adverb,осторожно,He opened the fragile package carefully to avoid damaging the contents.
careless,Adjective,неосторожный,The careless driver caused a serious accident.
carpet,Noun,ковер,The living room is adorned with a beautiful Persian carpet.
carrot,Noun,морковь,She added chopped carrots to the soup for extra flavor.
carry,Verb,нести,Can you help me carry these heavy boxes upstairs?
cartoon,Noun,мультфильм,My kids love watching their favorite cartoons on TV.
case,Noun,кейс,The lawyer presented evidence to support his case.
cash,Noun,денежные средства,I need to stop by the bank and withdraw some cash.
cast,Noun Verb,бросать,The actor was cast as the lead role in the play.
castle,Noun,замок,We visited a medieval castle during our vacation.
cat,Noun,кошка,The cat curled up on the windowsill and took a nap.
catch,Verb Noun,поймать,Can you catch the ball and throw it back to me?
category,Noun,категория,This book falls under the category of science fiction.
cause,Noun Verb,причина,The heavy rain was the cause of the flooding in the area.
CD,Noun,CD,She bought the latest album on CD.
ceiling,Noun,потолок,The ceiling of the room was painted with intricate designs.
celebrate,Verb,праздновать,We will celebrate our anniversary with a special dinner.
celebration,Noun,праздник,The town organized a grand celebration for Independence Day.
celebrity,Noun,знаменитость,The movie premiere was attended by many celebrities.
cell,Noun,клетка,The human body is made up of millions of cells.
cent,Noun,цент,The candy costs 50 cents per piece.
central,Adjective,центральный,The hotel is located in the central part of the city.
centre,Noun Verb,центр,The shopping centre has a variety of stores and restaurants.
century,Noun,века,The painting is from the 17th century.
ceremony,Noun,церемония,The wedding ceremony took place in a beautiful garden.
certain,Adjective,определенный,I have a certain feeling that something good will happen.
certainly,Adverb,безусловно,She will certainly win the race with her exceptional skills.
chain,Noun Verb,цепь,The bicycle chain needs to be oiled for smoother riding.
chair,Noun Verb,стул,Please have a seat on the chair while we discuss the matter.
chairman,Noun,председатель,The chairman of the board addressed the shareholders at the meeting.
challenge,Noun Verb,вызов,Climbing Mount Everest was a significant challenge for him.
champion,Noun,чемпион,He won the boxing match and became the champion of the world.
chance,Noun,шанс,There is a chance of rain later in the day.
change,Verb Noun,изменение,We need to make a change to the schedule due to unforeseen circumstances.
channel,Noun,канал,I enjoy watching documentaries on the Discovery Channel.
chapter,Noun,глава,She just finished reading the last chapter of the book.
character,Noun,персонаж,The main character in the novel is a brave young woman.
characteristic,Noun Adjective,характерная черта,One of his characteristic traits is his sense of humor.
charge,Noun Verb,обвинение,The suspect was arrested and faced charges of theft.
charity,Noun,благотворительность,They donated money to a local charity to help those in need.
chart,Noun Verb,диаграмма,The sales chart showed a steady increase over the past year.
chat,Verb Noun,чат,We sat down at the coffee shop to chat about our weekend plans.
cheap,"Adjective, Adverb",дешево,I bought this shirt at a very cheap price.
cheat,Verb Noun,мошенничать,He was caught cheating on the exam and received a failing grade.
check,Verb Noun,чек,Please write a check for the total amount.
chef,Noun,шеф-повар,The chef prepared a delicious meal for the guests.
cheerful,Adjective,веселая,She always has a cheerful smile on her face.
cheese,Noun,сыр,I love the taste of cheddar cheese on my sandwiches.
chemical,"Adjective, Noun",химическая,The scientist conducted experiments in the chemical laboratory.
chemistry,Noun,химия,She is studying chemistry at university.
chest,Noun,грудь,He placed his hand over his chest and took a deep breath.
chicken,Noun,курица,She cooked a delicious roasted chicken for dinner.
chief,"Adjective, Noun",главный,The chief engineer inspected the construction site.
child,Noun,ребенок,The child played happily in the park.
childhood,Noun,детство,He has many fond memories from his childhood.
chip,Noun,чип,Can I have some potato chips with my sandwich?
chocolate,Noun,шоколад,I love the taste of dark chocolate.
choice,Noun,выбор,You have the freedom to make your own choices in life.
choose,Verb,выберите,Choose your favorite color from the palette.
church,Noun,церковь,They attended Sunday service at the local church.
cigarette,Noun,сигарета,He took a long drag of his cigarette before flicking the ash.
cinema,Noun,кино,Let's go to the cinema and watch the latest blockbuster.
circle,Noun Verb,круг,The children held hands and formed a circle.
circumstance,Noun,обстоятельство,"Due to unforeseen circumstances, the event had to be canceled."
cite,Verb,цитировать,He cited several research studies to support his argument.
citizen,Noun,гражданин,She became a naturalized citizen of the United States.
city,Noun,город,"New York City is known as ""the city that never sleeps."""
civil,Adjective,гражданского,The citizens demanded civil rights and equal treatment.
claim,Verb Noun,запрос,She filed a claim with her insurance company after the accident.
class,Noun,класс,The students were attentive in class and actively participated.
classic,"Adjective, Noun",классический,Pride and Prejudice is considered a classic novel.
classical,Adjective,классический,Beethoven composed many classical symphonies.
classroom,Noun,школьный класс,The students sat at their desks in the classroom.
clause,Noun,пункт,The contract includes a confidentiality clause.
clean,"Adjective, Verb",чистый,She scrubbed the kitchen until it was clean and sparkling.
clear,"Adjective, Verb",Чисто,The water in the lake was crystal clear.
clearly,Adverb,явно,"He explained the instructions clearly, so everyone understood."
clever,Adjective,умная,She is a clever student and always gets top grades.
click,Verb Noun,щелчок,He clicked the mouse to open the document.
client,Noun,клиент,The lawyer met with her client to discuss the case.
climate,Noun,климат,The tropical climate is hot and humid throughout the year.
climb,Verb Noun,взобраться,They decided to climb the mountain and enjoy the breathtaking views.
clock,Noun,Часы,"The clock on the wall struck twelve, signaling lunchtime."
close1,Verb Noun,close1,Please close the door when you leave the room.
close2,"Adjective, Adverb",close2,"The deadline for submissions is close, so make sure to submit your work."
closed,Adjective,закрыто,The store is closed on Sundays.
closely,Adverb,тесно,The siblings are closely bonded and always support each other.
cloth,Noun,ткань,She used a soft cloth to clean the delicate surface.
clothes,Noun,одежда,She folded her clothes and put them neatly in the drawer.
clothing,Noun,одежда,The clothing store offers a wide range of fashionable items.
cloud,Noun,облако,The sky was filled with fluffy white clouds.
club,Noun,клуб,They are members of the local book club.
clue,Noun,ключ к разгадке,He found a clue that led him closer to solving the mystery.
